Word, Meaning
Abandon, Give Up
Abate, Make Something Less Intense
Abet, Encourage to comit a crime
Accede, Agreeing On A Demand
Adapt, Adjust
Adequate, Enough
Ambivalence, State of having mixed feelings or contradictory ideas
Analogous, Comparabile in certain respects
Anomaly, Something which deviates from standard
Expect, Predict
Antipathy, Deep feelings of dislike
Apex, Tip
Apprehension, Anxiety
Articulate, Fluent
Artificial, Produced by human being
Assertion, Confident statement
Authenticity, Quality of being genuine
Avenue, A broad road in a city
Basic, Fundamental
Bear, Carry the weight of;support
Berate, Scold or criticze angrily
Bias, Inclination for and against
Bittersweet, Being at once bitter and sweet
Boost , Increase
Bovine, Group of animals including cows; buffalo; and bison
Braggart, A Person Who Boasts About Achievements
Brawl, Fight
Brevity, Concise and exact use of words
Burnish, Polish
Cacophony, Harsh Mixture Of Sounds
Candid, Truthful and straightfoward; frank
Capture, Catch
Catalyst, Substance That Leads To Chemical Reaction Increase
Cache, Collection Of Similar Items
Censorious, Severely Critical Of Others
Clout, Smack
Coincide, Occur
Commission, Instruction or command
Comparable, Similar
Competent, Capable
Complacent, Uncritical satisfaction of oneself
Concede, Admit; surrender or yield
Conceive, To Produce Something
Conduct, Manage
Constitute, Compose
Course, Route
Culmination, Climax
Dearth, Scarcity or lack of something
Deference, Polite submission and respect
Demagogue, A political leader appealing to desires rather than rationality
Demur, Raise objections or show reluctance
Deplete, Use Over Time
Desolate, Empty
Devise, To Come Up With
Dilemma, Confusion
Diluvial, Biblical Flood
Diminish, To Become Small
Dire, Hopeless
Disdain, Lack Of Respect
Dispassionate, No Strong Interest
Doctrine, Belief
