word, Meaning, Sentence
दिलकश, Pleasing, काफ़ी दिलकश नाम है
अतीत, Past, बिहार का अतीत गौरवशाली रहा है
निकटम, Near, निकटम पड़ौसी और मित्र के नाते यह हमारा कर्तव्य था।
गोलार्ध, Hemisphere, उत्तरी गोलार्ध
राजनीति, Politics, ये अब साबित हो चुका है कि सेना को राजनीति से अलग किये बगैर पाकिस्तान कभी भी जनतंत्र बनने की राह पर बढ़ नहीं सकता
जनतंत्र, Democracy, विश्व के सबसे बड़े और फलते फूलते जनतंत्र के चुनाव
अभिप्राय, Sense, प्रधानमंत्री ने कहा कि भारत से अभिप्राय शांति, एकता और सद्भाव है।
तत्व-वस्तुएं, Elements, प्रकृति के अन्य तत्व-वस्तुएं
निर्विकार, Changeless, इस विवरण से स्पष्ट हो जाता है कि आत्मा तो निर्विकार है किंतु मन इंद्रिय और शरीर में विकृति हो सकती है
उद्देश्य, Purpose, इस परियोजना के व्यापक उद्देश्यों का उल्लेख नीचे किया गया हैः
उल्लेख, Allusion, सभी लोग जिन्होंने सहयोग किया और मैं उल्लेख करना भूल गया
स्वतंत्रता, Freedome, स्वतंत्रता का तात्त्विक अर्थ यह है कि विवेकशील लोगों को जो कुछ सर्वात्तम प्रतीत हो, वही कुछ करने में वह समर्थ हो और उसके कार्यकलाप बाहर के किसी प्रतिबंध से न बँधे हों
दशा, Status, घर की दशा बहुत खराब थी।
समर्थ, Able, कोई इसे खरीदने में समर्थ नहीं है
साधारणतः, In a nutshell, अल्पावधि से लेकर साधारणतः 5 वर्ष तक का समय।
विवेकशील, Rational, इसलिए यदि आप इस बात से सहमत हों कि कोई भी विवेकशील व्यक्ति युद्ध की घोषणा का समर्थन नहीं कर सकता, तो इसका विकल्प क्या है?
व्याख्या, Illustration, क्या तुम में से कोई इस पागलपन की व्याख्या मुझे कर सकता हैं
कार्यकलाप, Action, ऐसा स्थल जहां कंप्यूटर से संबधित कार्यकलाप संचालित होते हो।
औपचारिक, Formal, औपचारिक रूप से नई दिल्ली भारत की राजधानी है ।
संकल्पना, Concept, राष्‍ट्रीय डिजाइन संस्‍थान ने इस प्रदर्शनी के डिजाइन की संकल्पना की है।
अभाव, Non-being, सोने के अभाव में अपने प्रशिक्षण का हिस्सा है
सदैव, Always, सभी द्रव्य सदैव अपने प्राकृतिक रूपों में शरीर में उपयोगी नहीं होते 
साध्य, Theorem, हम उसे सहज ढंग से उस चीज़ का पात्र बना देंगे जो कठिन चीज़ कष्ट साध्य है
यथार्थ, Reality, उनके सरलीकरण का प्रयास एक बिंदु के आगे जाने पर सामाजिक यथार्थ को विकृत कर सकता है।
विवश, Constrained, हम उन्हें लौटने पर विवश कर देंगे
ध्येय, Aim, इस मोहिनी के वश होकर हम लोग हिन्दुसतान को अपने ध्येय की ओ आगे बढने से रोक रहें हैं।
उन्नयन, Elevation, प्रौद्योगिकी उन्नयन
वितरण, Delivery, प्रमाणपत्रों के एचटीटीपी सीआरएल वितरण बिन्दु अनदेखा करें
वंचित, Bereaved, मैं गोरिंग को शक्ति से वंचित करना और पद से हटाना चाहता हूं
अपरिहार्य, Unavoidable, लेकिन युद्ध अपरिहार्य लगता है मैं
बंधुता, Fraternity, यह मनुष्य के सार्वभौमिक बंधुता की धारणा का आधार है।
बहुसंन्स्क्रुत्, Multicultural, भारत एक बहुसंन्स्क्रुत् देश है
तपस्या, Devotion, आखिरकार दस साल की तपस्या का फल मिलने वाला है
भांति, like, भारत के साहित्य आकाश में महादेवी वर्मा का नाम ध्रुव तारे की भांति प्रकाशमान है।
कदाचित, maybe, कदाचित
